PRODUCT_CODE;PR_CURR;POLICY_NO_Count;pre_ann_Sum;PR_SA_Sum;total_fund_Sum
BASE_AALM;IDR;61;3160000000;4740000000;9829611142
BASE_AALM;USD;50;255000;382500;756914,1009
BASE_AAOP;IDR;193;11020000000;22040000000;63349488530
BASE_AAOP;USD;74;1368000;2736000;5252373,614
BASE_ANSSP;IDR;89;6123000000;56165000000;14121211655
BASE_ARPL;IDR;239;12555299996;2,19E+11;15373032778
BASE_ASAMN;IDR;1115;27250764615;3,94E+11;5389828288
BASE_ASBA;IDR;402;657168000;21661800000;4434482121
BASE_ASFA;IDR;14;2625000000;5250000000;874698206,6
BASE_ASI;IDR;63;2258000000;3756000000;1867319167
BASE_ASLSS;IDR;85;463800000;13997000000;1926216799
BASE_ASMAP;IDR;7;224000000;344500000;88506433,91
BASE_ASMFP;IDR;173;7915716045;13339288807;4377208409
BASE_ASP;IDR;61;376359996;11617000000;1730062529
BASE_ASPLF;IDR;33562;5,94E+11;8,52E+12;86513112652
BASE_ASPOA;IDR;33634;3,74E+11;1,15E+13;6,34E+11
BASE_ASRKP;IDR;8;14400000;393000000;213627306,1
BASE_ATSBH;IDR;1975;51395012680;3,21E+11;25680120888
BASE_AWPF;IDR;42;2024500004;30315000000;4379222854
BASE_AWPF;USD;2;5000;25000;16359,14286
BASE_AWPL;IDR;54;9041000004;3,39E+11;19632887049
BASE_AWPL;USD;57;1029000;23636000;2702602,77
BASE_AWPL2;IDR;46;7341999996;2,50E+11;9847813574
BASE_AWPL2;USD;25;426400;9926000;603805,4076
BASE_AWPR;IDR;130;6824999996;1,12E+11;98433619457
BASE_AWPR;USD;15;68000;1187500;172737,5844
BASE_AWSL;IDR;1;80000000;2000000000;44204238,27
BASE_AWSL;USD;1;19250;481250;9885,083975
BASE_BJPMC;IDR;12;650000000;975000000;7831206334
BASE_BJPMC;USD;47;235000;352500;1781110,392
BASE_BJPOC;IDR;62;641000000;39273000000;1105454324
BASE_CPRA;IDR;2;150000000;1000000000;20472185,96
BASE_DMSA;IDR;743;2926355972;1,34E+11;21533274313
BASE_DRKFS;IDR;3628;23069599980;7,11E+11;1,67E+11
BASE_DRKFS;USD;71;115715;1808150;887417,9761
BASE_DRKPS;IDR;1;15000000;300000000;56795458,13
BASE_DRKU;IDR;9;49300000;1950000000;327196936,6
BASE_DRKUA;IDR;518;4347539996;1,29E+11;31043163339
BASE_DRKUA;USD;1;1250;20000;5285,010905
BASE_FIVS;IDR;60;3000000000;4500000000;17628444747
BASE_FIVS;USD;77;396500;594750;1480626,434
BASE_FLFS;IDR;154;6759000000;1,12E+11;20318528087
BASE_FLFS;USD;49;167000;1468000;688297,8649
BASE_GI1B;IDR;231;3675000000;4593750000;22003150421
BASE_GSL;IDR;142;9279000000;2,96E+11;30905579035
BASE_GSL;USD;41;257600;7194743,75;775867,0066
BASE_GUMA;IDR;65;4515000000;1,43E+11;15858910442
BASE_GUMA;USD;13;92700;2380000;221193,7318
BASE_GUOP;IDR;612;34067000000;68134000000;2,03E+11
BASE_GUOP;USD;41;740000;1480000;1757851,908
BASE_GUPM;IDR;635;38003700012;3,60E+11;79629965392
BASE_GUPM;USD;58;404000;3192000;872572,8996
BASE_GUPR;IDR;2920;1,21E+11;2,05E+12;3,18E+11
BASE_GUREN;IDR;163;7416195489;71046500000;2939038096
BASE_GUSI;IDR;173;29249999996;1,07E+12;85611355540
BASE_GUSI;USD;85;1222000;34803060;3876878,922
BASE_GUTI;IDR;40;6833000000;2,27E+11;19096087727
BASE_GUTI;USD;7;88000;2840000;76795,86629
BASE_GWL;IDR;913;47278666667;70615500000;3,22E+11
BASE_GWL;USD;275;1909000;2825750;5055284,795
BASE_HCIPA;IDR;200;2542900012;74763000000;7002930225
BASE_HPIP;IDR;1171;90208186690;1,04E+12;1,64E+11
BASE_HPIP;USD;789;5735172;63011540;12219614,23
BASE_HPPA;IDR;32;986000000;5105000000;9326870884
BASE_HPPA;USD;44;119900;2200000;1035949,881
BASE_HPWA;IDR;608;1,04E+11;3,56E+12;2,83E+11
BASE_HPWA;USD;536;8677480;246986915,5;29252533,92
BASE_HSCIP;IDR;2459;1,52E+11;2,42E+12;4,88E+11
