Policy No;campaign_Period;campaign_type;product
000080310063;May-Jun24;2;LGC
000080318073;May-Jun24;2;LGC
000080314970;May-Jun24;2;LGC
000080246152;May-Jun24;2;LGC
000080316264;May-Jun24;2;LGC
000080237088;May-Jun24;2;LGC
000080236695;May-Jun24;2;LGC
000080318378;May-Jun24;2;LGC
000080318010;May-Jun24;2;LGC
000080295889;May-Jun24;2;LGC
000080182118;May-Jun24;2;LGC
000080245458;May-Jun24;2;LGC
000080046279;May-Jun24;2;LGC
000080048687;May-Jun24;2;LGC
000080236337;May-Jun24;2;LGC
000080006731;May-Jun24;2;LGC
000080007117;May-Jun24;2;LGC
000080002423;May-Jun24;2;LGC
000079999718;May-Jun24;2;LGC
000080149802;May-Jun24;2;LGC
000080035454;May-Jun24;2;LGC
000079998264;May-Jun24;2;LGC
000080032926;May-Jun24;2;LGC
000080005757;May-Jun24;2;LGC
000080262300;May-Jun24;2;LGC
000080208957;May-Jun24;2;LGC
000079994079;May-Jun24;2;LGC
000080102102;May-Jun24;2;LGC
000080034013;May-Jun24;2;LGC
000080010258;May-Jun24;2;LGC
000080000587;May-Jun24;2;LGC
000080000562;May-Jun24;2;LGC
000080194530;May-Jun24;2;LGC
000079994243;May-Jun24;2;LGC
000080304500;May-Jun24;2;LGC
000080269707;May-Jun24;2;LGC
000080222918;May-Jun24;2;LGC
000080266437;May-Jun24;2;LGC
000080119857;May-Jun24;2;LGC
000080146238;May-Jun24;2;LGC
000079976559;May-Jun24;2;LGC
000080022214;May-Jun24;2;LGC
000079966947;May-Jun24;2;LGC
000080299411;May-Jun24;2;LGC
000080211170;May-Jun24;2;LGC
000080286508;May-Jun24;2;LGC
000080287234;May-Jun24;2;LGC
000080030557;May-Jun24;2;LGC
000079871145;May-Jun24;2;LGC
000080008162;May-Jun24;2;LGC
000079758615;May-Jun24;2;LGC
000080045098;May-Jun24;2;LGC
000080001691;May-Jun24;2;LGC
000080285842;May-Jun24;2;LGC
000079861499;May-Jun24;2;LGC
000080303063;May-Jun24;2;LGC
000080314129;May-Jun24;2;LGC
000080014527;May-Jun24;2;LGC
000079982770;May-Jun24;2;LGC
000080305926;May-Jun24;2;LGC
000080048277;May-Jun24;2;LGC
000079832712;May-Jun24;2;LGC
000080299058;May-Jun24;2;LGC
000080309257;May-Jun24;2;LGC
000080259893;May-Jun24;2;LGC
000079814345;May-Jun24;2;LGC
000080040802;May-Jun24;2;LGC
000079855851;May-Jun24;2;LGC
000079790324;May-Jun24;2;LGC
000079829082;May-Jun24;2;LGC
000079826340;May-Jun24;2;LGC
000080315987;May-Jun24;2;LGC
000079853443;May-Jun24;2;LGC
000079783710;May-Jun24;2;LGC
000080165317;May-Jun24;2;LGC
000080169377;May-Jun24;2;LGC
000079997128;May-Jun24;2;LGC
000079855277;May-Jun24;2;LGC
000079830063;May-Jun24;2;LGC
000079852700;May-Jun24;2;LGC
000080211754;May-Jun24;2;LGC
000079844361;May-Jun24;2;LGC
000079778224;May-Jun24;2;LGC
000079795624;May-Jun24;2;LGC
000079794436;May-Jun24;2;LGC
000079850180;May-Jun24;2;LGC
000079851028;May-Jun24;2;LGC
000079609862;May-Jun24;2;LGC
000079838550;May-Jun24;2;LGC
000079777478;May-Jun24;2;LGC
000080211975;May-Jun24;2;LGC
000080033085;May-Jun24;2;LGC
000080187828;May-Jun24;2;LGC
000079835741;May-Jun24;2;LGC
000079610570;May-Jun24;2;LGC
000079776994;May-Jun24;2;LGC
000079824048;May-Jun24;2;LGC
000080102520;May-Jun24;2;LGC
000079868134;May-Jun24;2;LGC
000079812406;May-Jun24;2;LGC
000079788975;May-Jun24;2;LGC
000079856440;May-Jun24;2;LGC
000079983429;May-Jun24;2;LGC
000079983510;May-Jun24;2;LGC
000080224818;May-Jun24;2;LGC
000079952904;May-Jun24;2;LGC
000079822649;May-Jun24;2;LGC
